system:index,B11_S2A,B11_S2B,B12_S2A,B12_S2B,B1_S2A,B1_S2B,B2_S2A,B2_S2B,B3_S2A,B3_S2B,B4_S2A,B4_S2B,B5_S2A,B5_S2B,B6_S2A,B6_S2B,B7_S2A,B7_S2B,B8A_S2A,B8A_S2B,B8_S2A,B8_S2B,B9_S2A,B9_S2B,WVP_S2A,WVP_S2B,classProb_S2A,classProb_S2B,class_S2A,class_S2B,dist_emd,dist_sam,dist_sed,dist_sid,spc_S2A,spc_S2B,.geo
0,922,861,529,525,468,570,356,452,533,564,505,542,1022,1074,1358,1495,1633,1659,1954,1963,1730,1860,1545,1415,1350,1423,0.92135274,0.7510584,4.0,4.0,5333.0,0.061680773021485454,87046.0,0.01734268440600668,72.12582,72.230934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,922,861,529,525,468,570,411,490,578,588,553,576,1022,1074,1358,1495,1633,1659,1954,1963,1838,1924,1545,1415,1350,1423,0.85828966,0.5310044,4.0,4.0,4494.0,0.05692862669658907,72866.0,0.014466521367336452,70.29055,70.59475,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,269,308,166,157,391,482,538,604,772,713,764,684,885,834,852,731,837,952,939,734,1052,1004,385,405,1350,1423,0.59212303,0.44009423,4.0,4.0,1769.0,0.11451555286555509,104645.0,0.04924286363835103,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,206,193,102,91,383,488,437,554,717,719,672,650,877,875,721,576,653,701,558,623,1096,1136,367,462,1350,1423,0.72784364,0.5808284,4.0,4.0,2856.0,0.09407428225063094,69004.0,0.04287882289429601,0.0,24.640354,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,252,203,124,108,374,495,476,603,716,724,656,716,925,880,781,739,914,702,683,811,1136,1180,462,427,1350,1423,0.7200042,0.6487462,4.0,4.0,2429.0,0.1190887642804543,110698.0,0.06154457540618485,23.907497,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,422,380,233,200,379,493,542,634,764,807,692,697,999,983,1090,937,1060,1041,1075,1026,768,849,575,498,1350,1423,0.50958705,0.5246248,4.0,4.0,1643.0,0.08878603903884487,70433.0,0.03521669468731577,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,322,287,182,161,327,420,343,443,494,553,455,492,840,768,789,801,1002,876,1032,947,876,760,924,864,1350,1423,0.8268097,0.6231653,4.0,4.0,1991.0,0.09769051168605687,75979.0,0.04350184238000149,32.243183,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,373,301,214,162,327,420,332,502,553,555,530,538,901,883,985,838,1048,959,1136,968,858,745,924,864,1350,1423,0.75215685,0.45879194,4.0,4.0,2897.0,0.11466267385057877,125281.0,0.06712827470988383,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,710,633,362,408,318,455,370,454,570,584,550,557,964,1073,1234,1300,1303,1423,1565,1502,1644,1604,1118,1112,1350,1423,0.6056599,0.62107307,4.0,4.0,4894.0,0.06850781450524575,75686.0,0.026059755144855916,63.61473,61.18271,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,279,218,137,113,426,493,420,567,672,705,625,637,876,836,908,876,957,958,916,872,1006,1000,319,251,1350,1423,0.4002378,0.7997002,4.0,4.0,2054.0,0.07671990369467373,46178.0,0.0363317608859851,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,281,188,130,98,336,433,479,564,652,710,601,626,800,780,751,590,742,672,747,632,958,828,612,569,1350,1423,0.53250486,0.5953539,4.0,4.0,2569.0,0.12044482157434,98820.0,0.067039494133181,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,245,227,130,124,389,489,388,474,524,606,507,558,753,764,797,793,917,895,814,845,1280,1178,261,272,1350,1423,0.5208391,0.5693969,4.0,4.0,3421.0,0.0758291679179695,44517.0,0.02412172765280921,52.24774,39.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,443,314,214,169,336,433,430,574,610,590,548,530,845,782,891,853,957,927,996,961,889,882,612,569,1350,1423,0.5566462,0.7421401,4.0,4.0,1427.0,0.09199742272327502,64300.0,0.04987138349064443,0.0,20.713142,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,289,183,144,130,336,433,414,546,584,640,508,514,763,728,746,601,786,668,731,664,737,592,612,569,1350,1423,0.5338339,0.7034829,4.0,4.0,2702.0,0.1344546421255085,110303.0,0.08364317964305798,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,364,290,237,153,349,443,367,501,611,631,524,556,923,873,1177,992,1237,920,1200,1036,1118,996,249,184,1350,1423,0.80007505,0.9712256,4.0,4.0,4854.0,0.13939059103960275,229296.0,0.08729878548109388,40.06339,26.599895,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,175,149,88,80,320,425,352,512,520,551,455,488,693,676,479,433,513,508,458,322,704,551,400,342,1350,1423,0.98598844,0.55915236,4.0,4.0,2155.0,0.14435122454573626,92443.0,0.09651354720794907,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,397,264,225,137,320,425,375,486,514,558,472,517,859,821,1022,935,1132,910,1148,1024,836,790,400,342,1350,1423,0.89635545,0.8038589,4.0,4.0,2890.0,0.1254637864948659,137222.0,0.083984348873067,25.70214,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,371,259,222,149,320,425,389,496,566,572,522,528,815,778,811,632,961,798,916,677,1396,1114,400,342,1350,1423,0.63622797,0.597369,4.0,4.0,5236.0,0.15478855137866535,245736.0,0.09906091063888389,56.224815,39.22509,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,232,211,153,130,298,416,380,491,590,602,588,540,805,741,684,568,673,629,575,498,1142,971,160,165,1350,1423,0.7205714,0.87487155,4.0,4.0,2377.0,0.1187180486249733,89675.0,0.05900238731783569,32.91898,26.898663,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,397,264,225,137,320,425,389,498,542,542,528,532,859,821,1022,935,1132,910,1148,1024,1168,1004,400,342,1350,1423,0.60886604,0.8198441,4.0,4.0,3898.0,0.12164051200801311,157617.0,0.07755743602284021,42.7483,30.6926,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,371,259,222,149,320,425,359,465,497,526,462,460,815,778,811,632,961,798,916,677,1226,908,400,342,1350,1423,0.74254304,0.7540802,4.0,4.0,5417.0,0.17035491845512266,267896.0,0.11360772068993147,55.695496,34.167133,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,255,169,110,111,363,460,418,578,639,657,553,556,743,746,625,540,735,698,689,495,906,744,235,228,1350,1423,0.8700776,0.54287255,4.0,4.0,2511.0,0.14503654143108577,120600.0,0.09245432230558928,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,232,211,153,130,298,416,352,457,477,512,443,451,805,741,684,568,673,629,575,498,662,568,160,165,1350,1423,0.9683528,0.8765577,4.0,4.0,1718.0,0.11699308463546906,66815.0,0.06049282517313079,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,430,364,225,201,320,425,358,492,588,566,540,546,871,862,915,840,1006,954,995,869,968,754,400,342,1350,1423,0.8170661,0.56738704,4.0,4.0,2785.0,0.11786742755781611,113208.0,0.06193289859506869,26.654003,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,279,184,158,119,320,425,356,476,488,496,450,450,672,638,563,419,651,532,552,425,951,692,400,342,1350,1423,0.7897781,0.69892555,4.0,4.0,3929.0,0.1738345095292565,163991.0,0.12187317412803737,39.34895,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,335,249,210,157,363,460,478,566,653,641,543,518,873,856,929,724,1035,846,828,721,764,770,235,228,1350,1423,0.68904865,0.9352516,4.0,4.0,3182.0,0.1269001420300234,123025.0,0.0638726063296801,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,472,303,244,178,336,441,454,470,626,612,553,516,927,923,1016,912,1148,996,1164,987,1018,902,310,269,1350,1423,0.9835724,0.9977997,4.0,4.0,3767.0,0.10805689171528611,131494.0,0.05680104999141078,28.748005,24.657207,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,472,303,244,178,336,441,384,491,653,623,594,520,927,923,1016,912,1148,996,1164,987,1070,698,310,269,1350,1423,0.7985594,0.97678053,4.0,4.0,5241.0,0.15817123605164082,272426.0,0.10626918979230505,27.039085,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,396,240,201,148,336,441,401,566,590,604,515,521,818,794,857,717,915,813,947,782,768,522,310,269,1350,1423,0.8798945,0.68701833,4.0,4.0,3832.0,0.16411085258354502,190958.0,0.12536757817718097,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,348,277,180,157,311,414,473,616,664,711,619,628,830,850,746,732,838,742,772,645,1010,871,570,555,1350,1423,0.8869435,0.70618474,4.0,4.0,2143.0,0.1133309511745554,89734.0,0.05659405967047784,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,430,364,225,201,320,425,420,552,594,639,598,584,871,862,915,840,1006,954,995,869,1122,1024,400,342,1350,1423,0.5669761,0.828929,4.0,4.0,2130.0,0.09707449038064955,78185.0,0.04577526188442186,30.238281,24.901093,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,279,184,158,119,320,425,358,538,509,519,426,447,672,638,563,419,651,532,552,425,690,559,400,342,1350,1423,0.9619138,0.6352317,4.0,4.0,2989.0,0.16777391717633539,132548.0,0.13176325120905485,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,472,303,244,178,336,441,432,518,601,588,572,583,927,923,1016,912,1148,996,1164,987,1470,1316,310,269,1350,1423,0.80395806,0.4932124,4.0,4.0,3584.0,0.10938692751272017,147619.0,0.06272079143034141,53.485954,44.233887,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,472,303,244,178,336,441,434,506,652,650,592,566,927,923,1016,912,1148,996,1164,987,1394,1272,310,269,1350,1423,0.91432416,0.95742965,4.0,4.0,3535.0,0.10625966176253987,136965.0,0.059530634300443176,47.302437,43.910507,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,396,240,201,148,336,441,429,506,600,626,574,554,818,794,857,717,915,813,947,782,1296,1162,310,269,1350,1423,0.7214493,0.8709702,4.0,4.0,3356.0,0.11854329419850385,127946.0,0.0717434195675008,44.251724,38.78298,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,396,240,201,148,336,441,370,510,552,543,552,531,818,794,857,717,915,813,947,782,1294,1028,310,269,1350,1423,0.6209426,0.4201028,4.0,4.0,4131.0,0.14509828312535528,193863.0,0.09613134890804828,46.979538,32.67171,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,215,129,130,84,321,439,380,487,545,560,512,484,674,659,513,424,557,465,501,422,888,708,148,143,1350,1423,0.9035904,0.54523534,4.0,4.0,2514.0,0.14187200961263022,96499.0,0.09753587845606183,24.0304,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,512,464,278,260,236,336,408,547,568,624,562,574,906,905,1143,1093,1232,1247,1337,1234,1216,1088,863,865,1350,1423,0.48110133,0.6126647,4.0,4.0,2230.0,0.08091910746876296,70281.0,0.03642752855312748,41.10866,31.032295,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,221,182,124,113,282,388,430,539,607,605,572,552,740,726,653,548,663,512,608,478,977,708,565,521,1350,1423,0.51807016,0.36742905,4.0,4.0,3829.0,0.15738143279149472,155711.0,0.09255662806137893,22.806633,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,181,145,98,94,316,425,368,502,566,611,504,480,726,706,575,419,599,511,466,399,588,508,569,558,1350,1423,0.5202346,0.66785294,4.0,4.0,1952.0,0.13169260798950758,82569.0,0.08070350521709002,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,74,56,48,44,312,395,372,459,510,540,443,470,733,691,638,485,617,488,450,343,590,485,407,342,1350,1423,0.53169245,0.75357,4.0,4.0,2822.0,0.1401714766041601,90269.0,0.08224292606673415,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,145,99,91,76,282,388,424,554,596,591,562,556,806,767,761,579,792,607,704,532,852,576,565,521,1350,1423,0.69829655,0.5582055,4.0,4.0,4835.0,0.17800290060447502,212433.0,0.12402056216897206,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,592,478,311,282,338,432,485,602,695,678,612,612,973,966,1138,1128,1213,1193,1265,1137,1094,999,518,524,1350,1423,0.8923545,0.55177605,4.0,4.0,1646.0,0.08033315225773506,67974.0,0.031905387629994265,26.432499,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,59,69,62,41,312,395,332,419,480,536,441,454,693,654,493,382,550,448,365,240,536,455,407,342,1350,1423,0.83471304,0.7726517,4.0,4.0,2251.0,0.1354386315140852,74290.0,0.09244970658609472,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,145,99,91,76,282,388,436,536,592,631,565,552,806,767,761,579,792,607,704,532,898,719,565,521,1350,1423,0.80060804,0.9626978,4.0,4.0,4209.0,0.1547143138355429,163027.0,0.09652914336856666,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,316,298,152,153,338,432,418,582,656,658,592,604,818,818,727,632,881,814,742,619,912,753,518,524,1350,1423,0.6699013,0.5025091,4.0,4.0,2144.0,0.11981114157239556,95494.0,0.059744393552800514,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,588,458,343,277,356,458,468,554,644,664,628,637,1017,1002,1199,1134,1267,1269,1416,1366,1390,1292,710,613,1350,1423,0.49933285,0.9289805,4.0,4.0,1774.0,0.07509276455721593,70833.0,0.03323460237154491,42.79013,36.243687,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,252,199,144,120,218,328,224,338,323,370,331,337,711,732,959,937,1019,1016,1132,1057,1002,996,551,562,1350,1423,0.45740688,0.91365814,4.0,4.0,3089.0,0.07562141836417044,42771.0,0.045138143620862284,64.43085,62.88192,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,606,568,419,374,338,408,642,687,842,819,824,802,1153,1142,1267,1219,1339,1330,1391,1339,1394,1396,641,507,1350,1423,0.46079302,0.88011533,4.0,4.0,1101.0,0.05391922997183374,39906.0,0.01696211949213478,22.037403,24.31847,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,588,458,343,277,356,458,444,530,611,650,590,616,1017,1002,1199,1134,1267,1269,1416,1366,1386,1302,710,613,1350,1423,0.62524486,0.95300007,4.0,4.0,1853.0,0.07567216580964989,70001.0,0.03434983693971924,47.131615,39.359707,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,194,118,98,83,250,339,312,378,436,462,395,416,745,727,824,715,837,789,807,669,791,680,556,399,1350,1423,0.6722051,0.84665537,4.0,4.0,2683.0,0.12289213557775423,95247.0,0.07553315730684211,35.27005,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,348,267,225,183,338,408,488,574,644,672,654,645,936,894,995,896,1072,1043,1093,992,1150,1116,641,507,1350,1423,0.55417484,0.9436296,4.0,4.0,1957.0,0.08384762025059933,68534.0,0.036217983039619955,25.12696,23.83945,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,306,241,182,152,365,449,369,458,547,552,508,551,832,847,871,790,994,936,1073,1002,1098,980,636,609,1350,1423,0.9295675,0.9549174,4.0,4.0,1674.0,0.08333673041782333,57149.0,0.033589099938817604,41.030087,26.03276,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,306,241,182,152,365,449,354,528,583,586,550,576,832,847,871,790,994,936,1073,1002,993,879,636,609,1350,1423,0.7677057,0.7296065,4.0,4.0,1832.0,0.0992329773713429,77387.0,0.05189915325608855,27.218952,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,194,118,98,83,250,339,261,383,404,424,374,386,745,727,824,715,837,789,807,669,626,566,556,399,1350,1423,0.75731957,0.53977966,4.0,4.0,2417.0,0.1293671513182266,96481.0,0.09019375477172092,21.17912,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,306,241,182,152,365,449,327,421,457,462,462,456,832,847,871,790,994,936,1073,1002,1064,1028,636,609,1350,1423,0.89898306,0.9660917,4.0,4.0,1314.0,0.07459535751631441,43623.0,0.03030281212628403,45.696884,44.139618,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,306,241,182,152,365,449,308,454,452,482,470,461,832,847,871,790,994,936,1073,1002,922,874,636,609,1350,1423,0.82375973,0.9499213,4.0,4.0,1615.0,0.08824408648608717,58031.0,0.044596979644403734,33.690056,31.04905,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,558,520,361,327,356,458,576,628,808,744,756,772,1114,1075,1228,1160,1349,1286,1402,1352,1536,1430,710,613,1350,1423,0.71483976,0.3550695,4.0,4.0,2133.0,0.060095050614729306,58648.0,0.019302932102641293,36.37445,29.234837,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,703,613,468,418,356,458,610,684,786,774,756,732,1060,1086,1238,1188,1329,1335,1543,1440,1426,1396,710,613,1350,1423,0.46498773,0.955529,4.0,4.0,1532.0,0.06333738367419349,56659.0,0.021664742205088912,30.652355,31.507893,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,460,350,313,218,356,458,384,459,524,576,535,532,914,902,1042,997,1139,1110,1294,1263,1116,1080,710,613,1350,1423,0.65102744,0.94510925,4.0,4.0,1724.0,0.07865836723349173,59872.0,0.04189031792620196,38.369278,36.311863,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,323,232,212,143,352,448,408,459,580,605,546,550,954,950,1068,1053,1216,1140,1248,1180,1234,1150,796,596,1350,1423,0.94706655,0.97069216,4.0,4.0,2191.0,0.09016672126358659,88526.0,0.04835442843345445,44.32409,38.54706,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,323,232,212,143,352,448,388,468,561,610,538,554,954,950,1068,1053,1216,1140,1248,1180,1192,1098,796,596,1350,1423,0.89369667,0.9885815,4.0,4.0,2307.0,0.09565989509321893,96121.0,0.05428718431816308,42.864647,34.47898,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,356,246,210,155,352,448,440,504,618,665,608,604,1072,1055,1211,1143,1301,1255,1393,1232,1248,1150,796,596,1350,1423,0.7022161,0.89544743,4.0,4.0,2859.0,0.09455485759216237,118545.0,0.05017847179589861,37.151035,31.380295,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,80,67,60,45,209,313,278,416,430,476,351,388,622,619,452,433,510,489,332,338,492,487,601,664,1350,1423,0.9666995,0.8908325,4.0,4.0,3988.0,0.08770364774733073,43909.0,0.04938892930372419,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,80,67,60,45,209,313,352,456,452,508,375,396,622,619,452,433,510,489,332,338,378,362,601,664,1350,1423,0.98793787,0.89995015,4.0,4.0,3464.0,0.0774388819363102,36004.0,0.03808103400355911,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,81,64,56,42,218,328,334,459,473,505,412,388,587,631,403,412,417,442,295,308,382,406,551,562,1350,1423,0.8203374,0.8818942,4.0,4.0,4109.0,0.07732842080796302,38647.0,0.03983306820173033,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,81,64,56,42,218,328,269,375,374,421,318,359,587,631,403,412,417,442,295,308,481,471,551,562,1350,1423,0.8926087,0.74334013,4.0,4.0,4492.0,0.07382916483666375,36072.0,0.03886891436731385,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,143,68,88,55,233,333,313,452,420,469,334,340,676,665,680,576,649,582,624,433,412,337,449,319,1350,1423,0.97795177,0.67627996,4.0,4.0,2786.0,0.16457839715314299,118233.0,0.1496605294782617,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,513,415,304,260,365,449,329,437,496,487,472,459,917,922,1020,963,1119,1132,1422,1291,1148,1072,636,609,1350,1423,0.7753437,0.93642247,4.0,4.0,1617.0,0.07821553472465338,62948.0,0.03229755384013591,49.617874,46.711433,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,436,334,278,208,365,449,352,457,542,524,493,480,886,858,850,896,1049,961,1214,1112,1013,938,636,609,1350,1423,0.7110258,0.9338062,4.0,4.0,1617.0,0.0874809504088751,66609.0,0.0415466860127917,37.229828,33.39368,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,277,227,175,145,365,449,432,531,588,598,560,584,816,853,782,737,911,867,933,784,943,845,636,609,1350,1423,0.87051237,0.9304853,4.0,4.0,1801.0,0.09429396030990504,64126.0,0.03801899457078038,21.664963,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,277,227,175,145,365,449,423,504,589,616,574,566,816,853,782,737,911,867,933,784,977,902,636,609,1350,1423,0.80879766,0.97266847,4.0,4.0,1690.0,0.08834877829265132,57024.0,0.03367584773706031,22.526752,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,80,67,60,45,209,313,348,436,478,524,406,418,622,619,452,433,510,489,332,338,358,362,601,664,1350,1423,0.7950579,0.9033676,4.0,4.0,3192.0,0.07086221582578905,31375.0,0.03344730478747213,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,72,46,42,54,233,333,263,474,416,488,351,362,588,586,329,266,360,326,177,174,450,315,449,319,1350,1423,0.9788794,0.9693775,4.0,4.0,2808.0,0.17465926754975777,106238.0,0.16299087411468005,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,436,334,278,208,365,449,335,444,472,525,474,469,886,858,850,896,1049,961,1214,1112,1212,1122,636,609,1350,1423,0.71314955,0.9610583,4.0,4.0,1806.0,0.08976994857490918,72281.0,0.044789766168105385,53.134514,48.439217,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,277,227,175,145,365,449,371,437,468,498,432,502,816,853,782,737,911,867,933,784,882,797,636,609,1350,1423,0.9916186,0.5605366,4.0,4.0,1723.0,0.09527069017952138,61426.0,0.03927264081268139,36.744656,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,277,227,175,145,365,449,352,469,526,525,480,486,816,853,782,737,911,867,933,784,768,690,636,609,1350,1423,0.9641923,0.93691665,4.0,4.0,1746.0,0.09780342735017088,63855.0,0.04326717542728237,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,294,280,196,168,356,458,369,454,536,558,495,479,854,871,912,835,963,957,1015,905,808,753,710,613,1350,1423,0.97259223,0.96837777,4.0,4.0,1648.0,0.08603803969049449,55466.0,0.03337157643978837,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,294,280,196,168,356,458,354,508,556,570,530,537,854,871,912,835,963,957,1015,905,940,842,710,613,1350,1423,0.9542178,0.9658753,4.0,4.0,1956.0,0.10050773204185114,78041.0,0.04914751633671226,25.80952,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,402,311,259,199,356,458,397,534,602,597,582,563,918,928,1038,964,1125,1098,1278,1134,1170,1020,710,613,1350,1423,0.60661656,0.9738981,4.0,4.0,2577.0,0.09945175341013446,105719.0,0.051124975817626574,35.566162,27.492405,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,150,106,80,72,299,414,363,528,544,572,542,520,758,713,563,434,577,550,495,356,950,826,85,66,1350,1423,0.9310808,0.89533734,4.0,4.0,2309.0,0.14372970303074353,103500.0,0.10023942439912599,24.871262,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,113,63,52,55,252,358,262,439,398,487,370,385,658,656,523,430,571,454,419,276,533,400,356,328,1350,1423,0.8099107,0.9515879,4.0,4.0,2537.0,0.17562265884947964,119813.0,0.16526229026157568,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,79,51,46,53,252,358,303,455,448,451,409,380,612,608,412,290,404,353,279,225,484,370,356,328,1350,1423,0.61848205,0.83658004,4.0,4.0,1812.0,0.14563730574703732,75549.0,0.1144812599866626,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,212,129,138,79,286,390,350,436,548,549,505,477,828,792,846,643,787,669,762,528,928,647,327,242,1350,1423,0.9583763,0.9582816,4.0,4.0,5411.0,0.18012209761521766,232067.0,0.13583685110225924,28.60952,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,212,129,138,79,286,390,402,544,571,600,542,532,828,792,846,643,787,669,762,528,824,622,327,242,1350,1423,0.67621636,0.85392725,4.0,4.0,4517.0,0.17743427022762304,206834.0,0.14250692849112181,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,639,503,421,337,286,390,534,600,726,718,724,709,1078,1015,1158,1132,1278,1161,1306,1223,1338,1282,327,242,1350,1423,0.53526264,0.58911526,4.0,4.0,2366.0,0.07811161561346419,81926.0,0.03823757926565424,29.054161,27.338017,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,273,219,142,153,305,404,354,454,452,510,458,465,739,780,795,689,914,839,1013,862,944,845,403,305,1350,1423,0.859249,0.99813807,4.0,4.0,2372.0,0.1162671031114176,92328.0,0.06228913486540289,37.464195,27.730534,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,273,219,142,153,305,404,340,464,477,521,493,472,739,780,795,689,914,839,1013,862,806,710,403,305,1350,1423,0.5775024,0.98950934,4.0,4.0,2394.0,0.12064461649967571,96083.0,0.06787489152973772,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,150,106,80,72,299,414,377,516,536,548,466,450,758,713,563,434,577,550,495,356,596,490,85,66,1350,1423,0.9767605,0.9197032,4.0,4.0,2205.0,0.1436403684462926,90588.0,0.09943410226352901,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,215,111,133,72,345,447,412,538,672,658,612,589,940,919,904,773,1007,837,804,634,1050,844,482,330,1350,1423,0.6049216,0.54039866,4.0,4.0,4605.0,0.14553426381365545,187813.0,0.11303400218702571,23.164333,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,66,52,62,43,283,380,332,493,564,585,522,497,826,794,574,457,640,469,444,288,594,474,216,197,1350,1423,0.6067026,0.6304768,4.0,4.0,3081.0,0.16496583210063268,125333.0,0.1288804167403523,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,113,63,52,55,252,358,316,434,438,494,396,426,658,656,523,430,571,454,419,276,679,495,356,328,1350,1423,0.8998454,0.8288284,4.0,4.0,2762.0,0.1669326958508244,114465.0,0.13676436746562745,23.115791,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,113,63,52,55,252,358,340,470,454,497,403,400,658,656,523,430,571,454,419,276,414,342,356,328,1350,1423,0.87810564,0.8420639,4.0,4.0,2169.0,0.14910790059465276,86591.0,0.1204970380131699,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,212,129,138,79,286,390,393,502,554,590,544,484,828,792,846,643,787,669,762,528,651,514,327,242,1350,1423,0.48973024,0.94183195,4.0,4.0,4472.0,0.1689145943308929,180471.0,0.13084013429058258,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,386,304,282,211,286,390,478,582,705,688,622,640,974,939,1008,847,1113,936,998,865,954,804,327,242,1350,1423,0.92601657,0.9798187,4.0,4.0,3968.0,0.11981190390668194,145228.0,0.066408982810271,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,386,304,282,211,286,390,538,655,742,726,736,704,974,939,1008,847,1113,936,998,865,1318,1240,327,242,1350,1423,0.72581285,0.957944,4.0,4.0,3753.0,0.10835634977989737,132352.0,0.05870762120476774,26.573128,25.260414,"{""type"":""MultiPoint"",""coordinates"":[]}"
