system:index,B11_S2A,B11_S2B,B12_S2A,B12_S2B,B1_S2A,B1_S2B,B2_S2A,B2_S2B,B3_S2A,B3_S2B,B4_S2A,B4_S2B,B5_S2A,B5_S2B,B6_S2A,B6_S2B,B7_S2A,B7_S2B,B8A_S2A,B8A_S2B,B8_S2A,B8_S2B,B9_S2A,B9_S2B,WVP_S2A,WVP_S2B,classProb_S2A,classProb_S2B,class_S2A,class_S2B,dist_emd,dist_sam,dist_sed,dist_sid,spc_S2A,spc_S2B,.geo
2423,93,69,58,60,270,389,381,491,560,605,487,475,813,811,709,630,723,668,587,390,566,484,113,92,1350,1423,0.9405355,0.44202363,4.0,4.0,2171.0,0.13465051544070558,89583.0,0.08838049005322113,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2424,48,40,56,34,270,389,334,506,506,564,481,475,794,788,541,490,599,569,362,312,565,463,113,92,1350,1423,0.65951073,0.82301563,4.0,4.0,2752.0,0.12366391607579827,69904.0,0.08323186568736024,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2425,48,40,56,34,270,389,348,511,511,568,442,470,794,788,541,490,599,569,362,312,546,451,113,92,1350,1423,0.9833846,0.8320802,4.0,4.0,3015.0,0.11940547606386943,66143.0,0.07813175703873268,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2426,433,283,243,187,236,330,534,576,714,706,691,682,1177,1127,1412,1298,1515,1421,1607,1401,1650,1554,386,255,1350,1423,0.9613492,0.96274066,4.0,4.0,3831.0,0.08114982152673761,134855.0,0.048721804451317276,48.30506,44.92032,"{""type"":""MultiPoint"",""coordinates"":[]}"
2427,433,283,243,187,236,330,400,510,646,620,578,574,1177,1127,1412,1298,1515,1421,1607,1401,1538,1382,386,255,1350,1423,0.99701995,0.97546244,4.0,4.0,3999.0,0.09090233203061439,160858.0,0.05932181370205453,55.88125,48.895912,"{""type"":""MultiPoint"",""coordinates"":[]}"
2428,164,89,92,65,205,310,360,432,522,542,493,499,924,878,1140,954,1139,1000,1148,902,1390,1148,267,87,1350,1423,0.8717003,0.9174079,4.0,4.0,5404.0,0.13637006680481653,235841.0,0.13423698735433764,59.78379,45.62021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2429,164,89,92,65,205,310,324,418,469,516,444,444,924,878,1140,954,1139,1000,1148,902,1200,952,267,87,1350,1423,0.87489426,0.9778454,4.0,4.0,5281.0,0.14726090033029288,244206.0,0.14951785304429716,56.942482,40.43209,"{""type"":""MultiPoint"",""coordinates"":[]}"
2430,113,61,77,46,227,352,336,458,511,548,509,468,908,875,1046,910,1098,935,1059,777,1120,936,272,163,1350,1423,0.5718029,0.6295925,4.0,4.0,4672.0,0.1477169250007121,213968.0,0.11652623085675226,42.355705,35.173332,"{""type"":""MultiPoint"",""coordinates"":[]}"
2431,107,57,85,36,272,345,317,415,424,461,433,418,819,703,677,495,924,598,811,411,1190,652,192,44,1350,1423,0.909067,0.9786022,4.0,4.0,9594.0,0.29170745507287976,650961.0,0.348187239413462,58.072258,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2432,140,127,84,57,273,415,332,458,454,495,416,402,707,648,639,505,663,529,517,384,656,493,66,81,1350,1423,0.91751426,0.4804088,4.0,4.0,2993.0,0.16928512440387083,128020.0,0.127048982403559,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2433,186,154,95,93,246,340,320,418,527,535,470,465,760,719,864,705,894,737,801,609,746,606,436,326,1350,1423,0.5529594,0.6968644,4.0,4.0,4061.0,0.14460600911843616,145061.0,0.0853456690025128,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2434,186,154,95,93,246,340,339,458,532,542,482,480,760,719,864,705,894,737,801,609,1016,770,436,326,1350,1423,0.587918,0.8394803,4.0,4.0,4627.0,0.15710663512500375,190549.0,0.09777514057894354,39.155136,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2435,109,77,75,50,332,442,404,512,588,650,538,560,945,898,967,887,1097,963,943,771,726,690,173,107,1350,1423,0.8830952,0.5378098,4.0,4.0,2355.0,0.11404115944579747,96871.0,0.0673149909913577,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2436,48,40,56,34,270,389,400,526,552,602,510,483,794,788,541,490,599,569,362,312,552,479,113,92,1350,1423,0.7622773,0.85854274,4.0,4.0,2076.0,0.1041400555065768,50950.0,0.06083045019044977,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2437,48,40,56,34,270,389,368,508,543,618,475,470,794,788,541,490,599,569,362,312,488,427,113,92,1350,1423,0.92015624,0.62705475,4.0,4.0,2811.0,0.107724597621815,55487.0,0.06590840554790411,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2438,433,283,243,187,236,330,543,618,746,718,695,689,1177,1127,1412,1298,1515,1421,1607,1401,1798,1692,386,255,1350,1423,0.9941777,0.9756209,4.0,4.0,3841.0,0.08201809604598487,141411.0,0.05028803302521139,53.946022,50.300545,"{""type"":""MultiPoint"",""coordinates"":[]}"
2439,433,283,243,187,236,330,430,523,646,645,646,580,1177,1127,1412,1298,1515,1421,1607,1401,1616,1526,386,255,1350,1423,0.609765,0.98709095,4.0,4.0,3898.0,0.08635589750223258,144836.0,0.05518585958265988,51.603462,55.10811,"{""type"":""MultiPoint"",""coordinates"":[]}"
2440,229,127,114,63,236,330,349,432,526,527,482,465,1006,980,1264,1109,1342,1188,1309,1084,1388,1136,386,255,1350,1423,0.54719436,0.6881591,4.0,4.0,5180.0,0.11557200793073717,214056.0,0.0806544127650629,61.181686,49.932587,"{""type"":""MultiPoint"",""coordinates"":[]}"
2441,164,89,92,65,205,310,353,418,486,515,455,466,924,878,1140,954,1139,1000,1148,902,1144,974,267,87,1350,1423,0.9137372,0.87924314,4.0,4.0,4925.0,0.1360595962479939,205744.0,0.13640706177752132,51.95967,38.518944,"{""type"":""MultiPoint"",""coordinates"":[]}"
2442,113,61,77,46,227,352,394,458,534,546,476,459,908,875,1046,910,1098,935,1059,777,1130,946,272,163,1350,1423,0.99840933,0.78527594,4.0,4.0,4767.0,0.13935133849111983,200563.0,0.10038242549372066,47.886772,37.4593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2443,113,61,77,46,227,352,393,451,510,570,508,481,908,875,1046,910,1098,935,1059,777,1112,901,272,163,1350,1423,0.8633362,0.6355607,4.0,4.0,4837.0,0.14580832145771538,214392.0,0.10727115171208133,41.970764,30.110306,"{""type"":""MultiPoint"",""coordinates"":[]}"
2444,107,57,85,36,272,345,318,407,408,444,394,404,819,703,677,495,924,598,811,411,970,564,192,44,1350,1423,0.99870074,0.97005683,4.0,4.0,8693.0,0.2765125797049678,524472.0,0.3374637058775096,50.478767,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2445,149,157,106,85,273,415,326,434,424,478,397,398,714,646,676,517,730,590,592,448,704,546,66,81,1350,1423,0.7390123,0.63801163,4.0,4.0,3144.0,0.1682832748245223,136009.0,0.1199801282661514,25.796764,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2446,174,136,94,83,246,340,348,465,562,576,530,502,873,798,868,689,942,734,828,529,795,626,436,326,1350,1423,0.5332263,0.8225739,4.0,4.0,5578.0,0.17677888787045903,241391.0,0.1229224764293856,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2447,65,48,45,42,307,420,447,514,608,659,546,556,940,936,915,812,967,884,801,650,868,738,158,102,1350,1423,0.7580396,0.3571366,4.0,4.0,2458.0,0.11021448757945443,85937.0,0.057377261938186874,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2448,45,44,44,37,307,420,409,511,566,624,509,548,857,856,756,678,781,704,587,491,693,640,158,102,1350,1423,0.58574784,0.38238785,4.0,4.0,1835.0,0.10512334244341376,60612.0,0.05738218982423357,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2449,53,47,41,37,270,389,357,513,552,618,500,490,776,759,564,468,595,519,349,284,594,474,113,92,1350,1423,0.5911462,0.70849586,4.0,4.0,1882.0,0.1368244890459642,82681.0,0.08916970795976388,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2450,63,62,58,46,343,419,479,557,672,700,592,612,1113,1101,1109,1061,1202,1130,999,911,1078,990,501,396,1350,1423,0.542649,0.6728039,4.0,4.0,1779.0,0.07363261745826202,52663.0,0.026506049078435123,27.892548,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2451,395,288,219,173,236,330,452,515,679,645,626,638,1057,1064,1312,1192,1422,1344,1462,1345,1710,1496,386,255,1350,1423,0.9041419,0.9680986,4.0,4.0,3499.0,0.08526255073180238,130178.0,0.04706217006703136,57.66291,46.998764,"{""type"":""MultiPoint"",""coordinates"":[]}"
2452,395,288,219,173,236,330,421,475,606,598,580,557,1057,1064,1312,1192,1422,1344,1462,1345,1506,1344,386,255,1350,1423,0.58373094,0.9975303,4.0,4.0,3267.0,0.08164225042493044,108866.0,0.045536543260097664,54.199463,49.051575,"{""type"":""MultiPoint"",""coordinates"":[]}"
2453,256,141,138,84,236,330,368,468,542,540,514,488,937,879,1150,994,1271,1123,1311,1034,1620,1362,386,255,1350,1423,0.6429037,0.85032856,4.0,4.0,5696.0,0.1214729552365982,251044.0,0.08580216693194441,66.99449,59.10672,"{""type"":""MultiPoint"",""coordinates"":[]}"
2454,256,141,138,84,236,330,350,424,521,514,474,468,937,879,1150,994,1271,1123,1311,1034,1338,1136,386,255,1350,1423,0.99347454,0.9181038,4.0,4.0,5369.0,0.12085031082370991,220165.0,0.08364153148827455,59.861855,49.475906,"{""type"":""MultiPoint"",""coordinates"":[]}"
2455,167,85,84,52,236,330,314,408,468,497,454,470,848,808,1025,847,1082,944,1140,834,1064,872,386,255,1350,1423,0.9375037,0.66896564,4.0,4.0,4984.0,0.15099110122849413,231835.0,0.11121712890657595,46.961372,29.361073,"{""type"":""MultiPoint"",""coordinates"":[]}"
2456,104,63,74,50,205,310,324,376,442,462,442,428,752,716,763,683,888,718,842,622,1060,819,267,87,1350,1423,0.94815403,0.97138166,4.0,4.0,4790.0,0.1647631979973109,197388.0,0.1611275572211005,48.614326,31.769848,"{""type"":""MultiPoint"",""coordinates"":[]}"
2457,126,71,89,45,227,352,368,468,478,484,442,459,748,742,835,664,907,735,892,695,1032,818,272,163,1350,1423,0.9921476,0.7651845,4.0,4.0,4489.0,0.1609570251993617,191587.0,0.1304721026629784,46.69069,26.190819,"{""type"":""MultiPoint"",""coordinates"":[]}"
2458,126,71,89,45,227,352,342,451,502,542,492,482,748,742,835,664,907,735,892,695,1096,865,272,163,1350,1423,0.9589306,0.99501014,4.0,4.0,4579.0,0.1630551468614987,202408.0,0.13436639371281878,43.263474,26.742775,"{""type"":""MultiPoint"",""coordinates"":[]}"
2459,128,68,92,49,227,352,356,441,527,568,493,512,841,769,826,702,933,794,881,709,1044,824,272,163,1350,1423,0.99901867,0.9677434,4.0,4.0,4143.0,0.14615808156777266,165416.0,0.117195655685906,39.501884,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2460,128,68,92,49,227,352,393,476,532,542,521,493,841,769,826,702,933,794,881,709,876,758,272,163,1350,1423,0.98892504,0.990101,4.0,4.0,3828.0,0.13226290050516484,129446.0,0.10470198102097775,21.543194,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2461,85,49,65,45,231,346,343,490,524,534,520,471,852,814,863,649,870,677,793,457,984,678,409,245,1350,1423,0.70697635,0.73081636,4.0,4.0,6685.0,0.2203930286495037,362277.0,0.20425234155646513,30.90234,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2462,69,46,65,28,272,345,270,421,378,461,406,408,750,647,450,405,724,475,565,263,778,446,192,44,1350,1423,0.9303199,0.85897744,4.0,4.0,5854.0,0.2725890904992726,340217.0,0.3893121470992186,31.87939,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2463,149,157,106,85,273,415,312,504,508,506,434,430,714,646,676,517,730,590,592,448,680,542,66,81,1350,1423,0.9183221,0.40985617,4.0,4.0,3044.0,0.17820883576415186,152392.0,0.1419075876947476,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2464,149,157,106,85,273,415,260,399,416,427,388,378,714,646,676,517,730,590,592,448,738,590,66,81,1350,1423,0.89561445,0.7411044,4.0,4.0,3195.0,0.16884429745384916,137910.0,0.1270522369480294,31.302238,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2465,71,47,41,39,270,389,310,460,478,524,426,419,791,778,662,587,679,598,466,351,554,489,113,92,1350,1423,0.805189,0.615706,4.0,4.0,1881.0,0.12912624680566012,74981.0,0.08760452999366534,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2466,53,47,41,37,270,389,378,525,542,589,480,490,776,759,564,468,595,519,349,284,588,463,113,92,1350,1423,0.8907448,0.5934924,4.0,4.0,1841.0,0.134261412670353,79032.0,0.08519151178755696,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2467,53,47,41,37,270,389,408,505,550,616,494,480,776,759,564,468,595,519,349,284,466,428,113,92,1350,1423,0.4884062,0.4577797,4.0,4.0,1548.0,0.11170043992469292,54894.0,0.061497171846938876,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2468,256,132,105,87,276,375,461,551,702,661,625,607,1162,1166,1549,1460,1622,1605,1672,1534,1796,1678,549,411,1350,1423,0.6740176,0.6466071,4.0,4.0,2602.0,0.07356751739124355,101173.0,0.04819126403920047,61.04274,58.466064,"{""type"":""MultiPoint"",""coordinates"":[]}"
2469,331,255,192,164,308,409,362,514,568,557,548,524,1113,1079,1301,1244,1432,1316,1488,1308,1384,1272,569,440,1350,1423,0.75888467,0.8590776,4.0,4.0,3119.0,0.09114433109241955,125337.0,0.050728753434371644,52.27246,49.479736,"{""type"":""MultiPoint"",""coordinates"":[]}"
2470,331,255,192,164,308,409,380,522,584,594,566,550,1113,1079,1301,1244,1432,1316,1488,1308,1448,1300,569,440,1350,1423,0.7457275,0.95829797,4.0,4.0,3298.0,0.09152146777838524,131416.0,0.049361391067272234,53.171005,47.57405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2471,395,288,219,173,236,330,419,480,624,593,579,562,1057,1064,1312,1192,1422,1344,1462,1345,1470,1324,386,255,1350,1423,0.8187362,0.9957243,4.0,4.0,3214.0,0.0809924636763268,105400.0,0.04575252282449095,52.63965,47.33735,"{""type"":""MultiPoint"",""coordinates"":[]}"
2472,395,288,219,173,236,330,414,467,562,580,536,516,1057,1064,1312,1192,1422,1344,1462,1345,1330,1184,386,255,1350,1423,0.5516423,0.9981345,4.0,4.0,3083.0,0.08363644455131403,103962.0,0.04738637249600115,51.033096,45.42946,"{""type"":""MultiPoint"",""coordinates"":[]}"
2473,256,141,138,84,236,330,349,412,510,497,468,469,937,879,1150,994,1271,1123,1311,1034,1356,1112,386,255,1350,1423,0.98688275,0.70401204,4.0,4.0,5653.0,0.12368224402963078,237475.0,0.08407641685182879,61.586052,47.797592,"{""type"":""MultiPoint"",""coordinates"":[]}"
2474,167,85,84,52,236,330,311,408,446,478,438,449,848,808,1025,847,1082,944,1140,834,1204,941,386,255,1350,1423,0.94627845,0.6600095,4.0,4.0,5415.0,0.15587092259212088,264761.0,0.1154608108578239,58.086723,38.721813,"{""type"":""MultiPoint"",""coordinates"":[]}"
2475,100,53,53,53,205,310,336,399,457,502,411,435,851,808,968,848,1012,855,924,690,902,715,267,87,1350,1423,0.95438653,0.5991405,4.0,4.0,4459.0,0.1551160510698939,188156.0,0.1569320536115001,42.162315,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
